Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,1,0.14285714285714296
3,1,0,0
4,0,0,0
5,1,0,0
6,1,1,0.15714285714285714
7,1,1,0.16666666666666669
8,1,0,0
9,1,1,0.04285714285714287
10,1,0,0
11,1,0,0
12,1,0,0
13,1,1,0.011904761904761862
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,1,0.0357142857142857
20,0,0,0
21,1,1,0.10476190476190467
22,0,0,0
23,1,1,0.4428571428571429
24,1,0,0
25,1,1,0.2642857142857143
26,1,1,0.1738095238095238
27,1,1,0.13333333333333336
28,1,1,0.2833333333333333
29,1,1,0.05238095238095242
30,0,0,0
31,0,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,1,0.14523809523809528
36,1,1,0.009523809523809545
37,1,0,0
38,1,0,0
39,1,1,0.07380952380952371
40,1,0,0
41,1,0,0
42,1,1,0.02619047619047621
43,1,1,0.19761904761904775
44,1,1,0.14285714285714285
45,1,1,0.16904761904761906
46,1,0,0
47,1,0,0
48,1,0,0
49,0,0,0
50,1,0,0
