Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.21666666666666673
2,0,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,0,0,0
7,1,0,0
8,0,0,0
9,0,0,0
10,1,0,0
11,0,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,1,1,0.04166666666666663
20,1,0,0
21,1,1,0.22083333333333333
22,0,0,0
23,1,0,0
24,0,0,0
25,1,0,0
26,1,1,0.14583333333333348
27,1,0,0
28,0,0,0
29,0,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,0,0,0
34,0,0,0
35,1,0,0
36,0,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,0,0,0
41,0,0,0
42,1,0,0
43,0,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,0,0,0
49,1,0,0
50,1,0,0
