Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,1,0.07000000000000006
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,1,1,0.026666666666666616
15,0,0,0
16,0,0,0
17,1,0,0
18,0,0,0
19,0,0,0
20,0,1,0.010000000000000009
21,1,0,0
22,0,0,0
23,1,1,0.09333333333333327
24,1,1,0.020000000000000018
25,0,0,0
26,0,0,0
27,1,0,0
28,0,0,0
29,1,0,0
30,1,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,1,0.016666666666666607
38,1,0,0
39,1,1,0.043333333333333335
40,0,0,0
41,1,0,0
42,1,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,1,1,0.1266666666666666
47,0,0,0
48,0,0,0
49,1,0,0
50,1,0,0
