Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,1,0,0
3,1,1,0.019444444444444375
4,0,1,0.011111111111111183
5,0,0,0
6,0,0,0
7,0,1,0.05555555555555558
8,0,1,0.04166666666666652
9,1,0,0
10,0,0,0
11,1,1,0.005555555555555536
12,1,1,0.22500000000000003
13,0,0,0
14,0,0,0
15,1,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,1,0,0
20,0,0,0
21,1,1,0.08333333333333343
22,1,0,0
23,0,0,0
24,0,1,0.21666666666666662
25,0,0,0
26,0,0,0
27,0,0,0
28,1,1,0.25555555555555565
29,1,1,0.03888888888888886
30,1,1,0.01388888888888884
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,1,0.11944444444444441
36,0,0,0
37,0,0,0
38,1,0,0
39,1,1,0.05555555555555569
40,0,0,0
41,1,0,0
42,1,0,0
43,1,1,0.1972222222222223
44,1,0,0
45,0,0,0
46,1,0,0
47,1,1,0.2194444444444445
48,0,0,0
49,1,0,0
50,0,0,0
