scheme,p_noise,avg_risk,strategic_percent,winner_change_percent
Plurality,0.0,-0.015666666666666676,32.0,32.0
Plurality,0.1,-0.011333333333333336,100.0,24.0
Plurality,0.3,-0.003999999999999997,96.0,6.0
Plurality,0.5,0.0,98.0,0.0
Voting for Two,0.0,0.0023333333333333283,18.0,18.0
Voting for Two,0.1,0.00466666666666667,90.0,4.0
Voting for Two,0.3,0.0,94.0,0.0
Voting for Two,0.5,0.0,98.0,0.0
Anti-Plurality,0.0,-0.011666666666666669,34.0,34.0
Anti-Plurality,0.1,-0.017666666666666657,94.0,42.0
Anti-Plurality,0.3,-0.011333333333333332,94.0,14.000000000000002
Anti-Plurality,0.5,-0.01366666666666667,98.0,14.000000000000002
Borda,0.0,-0.0013333333333333342,12.0,12.0
Borda,0.1,-0.008333333333333335,82.0,14.000000000000002
Borda,0.3,0.0013333333333333296,94.0,18.0
Borda,0.5,-0.0023333333333333296,90.0,6.0
